"시점","동별(1)","동별(2)",구분별(1),구분별(2),데이터
"2024 2/4","합계","서초구",계 (명),남자,196029
"2024 2/4","합계","서초구",계 (명),여자,215930
"2024 2/4","합계","서초구",한국인 (명),소계,407404
"2024 2/4","합계","서초구",한국인 (명),남자,193838
"2024 2/4","합계","서초구",한국인 (명),여자,213566
"2024 2/4","합계","서초구",등록외국인 (명),소계,4555
"2024 2/4","합계","서초구",등록외국인 (명),남자,2191
"2024 2/4","합계","서초구",등록외국인 (명),여자,2364
"2024 2/4","합계","서초구",세대당인구 (명),소계,2.39
"2024 2/4","합계","서초구",65세이상고령자 (명),소계,67191
"2024 2/4","합계","강남구",세대 (세대),소계,245046
"2024 2/4","합계","강남구",계 (명),소계,562136
"2024 2/4","합계","강남구",계 (명),남자,268628
"2024 2/4","합계","강남구",계 (명),여자,293508
"2024 2/4","합계","강남구",한국인 (명),소계,556570
"2024 2/4","합계","강남구",한국인 (명),남자,266101
"2024 2/4","합계","강남구",한국인 (명),여자,290469
"2024 2/4","합계","강남구",등록외국인 (명),소계,5566
"2024 2/4","합계","강남구",등록외국인 (명),남자,2527
"2024 2/4","합계","강남구",등록외국인 (명),여자,3039
"2024 2/4","합계","강남구",세대당인구 (명),소계,2.27
"2024 2/4","합계","강남구",65세이상고령자 (명),소계,89719
"2024 2/4","합계","송파구",세대 (세대),소계,287380
"2024 2/4","합계","송파구",계 (명),소계,658768
"2024 2/4","합계","송파구",계 (명),남자,315963
"2024 2/4","합계","송파구",계 (명),여자,342805
"2024 2/4","합계","송파구",한국인 (명),소계,652752
"2024 2/4","합계","송파구",한국인 (명),남자,313205
"2024 2/4","합계","송파구",한국인 (명),여자,339547
"2024 2/4","합계","송파구",등록외국인 (명),소계,6016
"2024 2/4","합계","송파구",등록외국인 (명),남자,2758
"2024 2/4","합계","송파구",등록외국인 (명),여자,3258
"2024 2/4","합계","송파구",세대당인구 (명),소계,2.27
"2024 2/4","합계","송파구",65세이상고령자 (명),소계,111724
"2024 2/4","합계","강동구",세대 (세대),소계,205956
"2024 2/4","합계","강동구",계 (명),소계,466924
"2024 2/4","합계","강동구",계 (명),남자,227732
"2024 2/4","합계","강동구",계 (명),여자,239192
"2024 2/4","합계","강동구",한국인 (명),소계,462646
"2024 2/4","합계","강동구",한국인 (명),남자,225871
"2024 2/4","합계","강동구",한국인 (명),여자,236775
"2024 2/4","합계","강동구",등록외국인 (명),소계,4278
"2024 2/4","합계","강동구",등록외국인 (명),남자,1861
"2024 2/4","합계","강동구",등록외국인 (명),여자,2417
"2024 2/4","합계","강동구",세대당인구 (명),소계,2.25
"2024 2/4","합계","강동구",65세이상고령자 (명),소계,85571
